Total unique genes matched: 23
Unique genes (alphabetical order):
ace2 (2541661)
cdc7 (2540660)
cnd1 (2541201)
cog6 (2541207)
gga22 (2540570)
hsk1 (2541165)
kgd2 (2541170)
lcl3 (2540556)
mcs6 (2540471)
med8 (2540761)
meu22 (2540779)
nup189 (2541547)
plh1 (2541187)
pmh1 (2540684)
ppk24 (2540596)
rpl2801 (2541130)
rps401 (2540649)
rtc5 (2540756)
spn7 (2540413)
thi1 (2541581)
trs120 (2542375)
tsr401 (2540619)
yap18 (2540702)

Unique genes matched on chromosome NC_001133.9: 3
Unique genes matched on chromosome NC_001134.8: 5
Unique genes matched on chromosome NC_001135.5: 5
Unique genes matched on chromosome NC_001136.10: 11
Unique genes matched on chromosome NC_001137.3: 4
Unique genes matched on chromosome NC_001138.5: 4
Unique genes matched on chromosome NC_001139.9: 10
Unique genes matched on chromosome NC_001140.6: 8
Unique genes matched on chromosome NC_001141.2: 1
Unique genes matched on chromosome NC_001142.9: 5
Unique genes matched on chromosome NC_001143.9: 6
Unique genes matched on chromosome NC_001144.5: 7
Unique genes matched on chromosome NC_001145.3: 5
Unique genes matched on chromosome NC_001146.8: 8
Unique genes matched on chromosome NC_001147.6: 8
Unique genes matched on chromosome NC_001148.4: 5

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_001147.6                                       854285                                            RTC5                                              546857                                            548560                                            NM_001183537.1                                    81                                                9.00e-17                                          86/337                                            1704                                              511                                               Query= 2540756|NP_596336.1|chromosome II|rtc5|1|3216255|3219311|N/A|511|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[190, 505, '86/337 (26%)', '147/337 (44%)', 81.3, '9e-17']]
NC_001143.9                                       853854                                            PUT3                                              408544                                            411483                                            NM_001179581.1                                    66                                                1.00e-11                                          64/290                                            2940                                              775                                               Query= 2541581|NP_594098.2|chromosome II|thi1|1|3211872|3214508|N/A|775|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[240, 500, '64/290 (22%)', '124/290 (43%)', 66.6, '1e-11']]
NC_001136.10                                      852071                                            TFB3                                              1383811                                           1384776                                           NM_001180768.3                                    181                                               2.00e-55                                          113/304                                           966                                               318                                               Query= 2540684|NP_596334.1|chromosome II|pmh1|-1|3211190|3213715|N/A|318|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[13, 304, '113/304 (37%)', '176/304 (58%)', 181.0, '2e-55']]
NC_001136.10                                      851726                                            KGD2                                              753675                                            755066                                            NM_001180455.3                                    444                                               2.00e-154                                         232/413                                           1392                                              452                                               Query= 2541170|NP_596331.1|chromosome II|kgd2|-1|3206575|3208732|N/A|452|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[39, 451, '232/413 (56%)', '294/413 (71%)', 444.0, '2e-154']]
NC_001146.8                                       855653                                            LAT1                                              491523                                            492971                                            NM_001182909.3                                    104                                               1.00e-24                                          77/237                                            1449                                              452                                               Query= 2541170|NP_596331.1|chromosome II|kgd2|-1|3206575|3208732|N/A|452|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[223, 451, '77/237 (32%)', '119/237 (50%)', 104.0, '1e-24']]
NC_001146.8                                       855742                                            LRO1                                              640396                                            642381                                            NM_001183185.1                                    496                                               3.00e-169                                         274/602                                           1986                                              632                                               Query= 2541187|NP_596330.2|chromosome II|plh1|1|3204399|3208234|N/A|632|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[46, 625, '274/602 (46%)', '379/602 (63%)', 496.0, '3e-169']]
NC_001144.5                                       850977                                            YCS4                                              683672                                            687202                                            NM_001182159.1                                    722                                               0.0                                               407/1038                                          3531                                              1158                                              Query= 2541201|NP_596329.1|chromosome II|cnd1|1|3200087|3203985|N/A|1158|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[163, 1156, '407/1038 (39%)', '634/1038 (61%)', 722.0, '0.0']]
NC_001139.9                                       852788                                            NUP145                                            337906                                            341859                                            NM_001180957.1                                    126                                               2.00e-29                                          135/470                                           3954                                              1807                                              Query= 2541547|NP_001417946.1|chromosome II|nup189|1|3196964|3202449|N/A|1807|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[567, 970, '135/470 (29%)', '210/470 (45%)', 126.0, '2e-29'], [1301, 1740, '112/447 (25%)', '193/447 (43%)', 94.7, '1e-19']]
NC_001145.3                                       855066                                            NUP116                                            363364                                            366705                                            NM_001182544.1                                    106                                               3.00e-23                                          52/144                                            3342                                              1807                                              Query= 2541547|NP_001417946.1|chromosome II|nup189|1|3196964|3202449|N/A|1807|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[821, 962, '52/144 (36%)', '86/144 (60%)', 106.0, '3e-23'], [202, 257, '33/56 (59%)', '40/56 (71%)', 75.5, '6e-14']]
NC_001143.9                                       853796                                            NUP100                                            310199                                            313078                                            NM_001179634.1                                    80                                                2.00e-15                                          45/142                                            2880                                              1807                                              Query= 2541547|NP_001417946.1|chromosome II|nup189|1|3196964|3202449|N/A|1807|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[823, 962, '45/142 (32%)', '75/142 (53%)', 80.1, '2e-15']]
NC_001136.10                                      851545                                            CDC7                                              424209                                            425732                                            NM_001180076.3                                    288                                               2.00e-92                                          180/480                                           1524                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[43, 433, '180/480 (38%)', '237/480 (49%)', 288.0, '2e-92']]
NC_001147.6                                       854227                                            CKA2                                              441534                                            442553                                            NM_001183480.1                                    107                                               3.00e-26                                          90/373                                            1020                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[67, 433, '90/373 (24%)', '148/373 (40%)', 107.0, '3e-26']]
NC_001139.9                                       852931                                            KSS1                                              575398                                            576504                                            NM_001181169.3                                    77                                                8.00e-16                                          96/385                                            1107                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[58, 435, '96/385 (25%)', '157/385 (41%)', 77.0, '8e-16']]
