Total unique genes matched: 13
Unique genes (alphabetical order):
arg12 (2541050)
clr4 (2540825)
clr4 (9839843)
eca39 (2540831)
fep1 (2541522)
met17 (2540849)
mlg1 (2540846)
mob1 (2540845)
N/A (2540852)
N/A (2540972)
not2 (2538778)
pho4 (2540606)
rhb1 (2540853)

Unique genes matched on chromosome NC_001133.9: 2
Unique genes matched on chromosome NC_001134.8: 3
Unique genes matched on chromosome NC_001135.5: 1
Unique genes matched on chromosome NC_001136.10: 3
Unique genes matched on chromosome NC_001137.3: 3
Unique genes matched on chromosome NC_001138.5: 3
Unique genes matched on chromosome NC_001139.9: 3
Unique genes matched on chromosome NC_001140.6: 4
Unique genes matched on chromosome NC_001141.2: 1
Unique genes matched on chromosome NC_001142.9: 4
Unique genes matched on chromosome NC_001143.9: 2
Unique genes matched on chromosome NC_001144.5: 2
Unique genes matched on chromosome NC_001145.3: 1
Unique genes matched on chromosome NC_001146.8: 1
Unique genes matched on chromosome NC_001147.6: 2
Unique genes matched on chromosome NC_001148.4: 1

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_001147.6                                       854096                                            ARG1                                              219211                                            220473                                            NM_001183313.2                                    514                                               0.0                                               250/407                                           1263                                              410                                               Query= 2541050|NP_595183.1|chromosome II|arg12|-1|449439|451024|N/A|410|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[7, 407, '250/407 (61%)', '310/407 (76%)', 514.0, '0.0']]
NC_001133.9                                       851299                                            PHO11                                             225460                                            226863                                            NM_001178239.1                                    159                                               4.00e-44                                          138/473                                           1404                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[10, 463, '138/473 (29%)', '225/473 (48%)', 159.0, '4e-44']]
NC_001140.6                                       856625                                            PHO12                                             552099                                            553502                                            NM_001179346.1                                    158                                               6.00e-44                                          138/473                                           1404                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[10, 463, '138/473 (29%)', '224/473 (47%)', 158.0, '6e-44']]
NC_001134.8                                       852389                                            PHO3                                              427698                                            429101                                            NM_001178440.1                                    148                                               3.00e-40                                          135/478                                           1404                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[10, 463, '135/478 (28%)', '224/478 (47%)', 148.0, '3e-40']]
NC_001134.8                                       852390                                            PHO5                                              429548                                            430951                                            NM_001178441.3                                    139                                               1.00e-36                                          123/436                                           1404                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[45, 463, '123/436 (28%)', '208/436 (48%)', 139.0, '1e-36']]
NC_001136.10                                      851537                                            DIA3                                              408451                                            409857                                            NM_001180083.1                                    139                                               1.00e-36                                          112/391                                           1407                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[45, 418, '112/391 (29%)', '183/391 (47%)', 139.0, '1e-36']]
NC_001138.5                                       850523                                            GAT1                                              95966                                             97498                                             NM_001179945.1                                    80                                                1.00e-16                                          30/50                                             1533                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[172, 221, '30/50 (60%)', '40/50 (80%)', 80.5, '1e-16']]
NC_001142.9                                       853334                                            GZF3                                              209922                                            211577                                            NM_001181543.1                                    78                                                7.00e-16                                          35/71                                             1656                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[165, 235, '35/71 (49%)', '48/71 (68%)', 78.6, '7e-16']]
NC_001143.9                                       853904                                            DAL80                                             506898                                            507707                                            NM_001179824.1                                    72                                                1.00e-14                                          28/46                                             810                                               564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[172, 217, '28/46 (61%)', '34/46 (74%)', 72.4, '1e-14']]
NC_001137.3                                       856763                                            GLN3                                              229795                                            231987                                            NM_001178931.3                                    73                                                3.00e-14                                          27/48                                             2193                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[172, 219, '27/48 (56%)', '35/48 (73%)', 73.9, '3e-14']]
NC_001142.9                                       853613                                            BAT2                                              705744                                            706874                                            NM_001181806.1                                    395                                               1.00e-136                                         193/366                                           1131                                              427                                               Query= 2540831|NP_595180.2|chromosome II|eca39|-1|442343|443935|N/A|427|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[59, 422, '193/366 (53%)', '250/366 (68%)', 395.0, '1e-136']]
