Total unique genes matched: 12
Unique genes (alphabetical order):
arg12 (2541050)
clr4 (9839843)
clr4_custom (2540825)
eca39 (2540831)
fep1 (2541522)
met17 (2540849)
mlg1 (2540846)
mob1 (2540845)
N/A (2540972)
not2 (2538778)
pho4 (2540606)
rhb1 (2540853)

Unique genes matched on chromosome NC_032089.1: 7
Unique genes matched on chromosome NC_032090.1: 5
Unique genes matched on chromosome NC_032091.1: 2
Unique genes matched on chromosome NC_032092.1: 3
Unique genes matched on chromosome NC_032093.1: 1
Unique genes matched on chromosome NC_032094.1: 3
Unique genes matched on chromosome NC_032096.1: 5

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_032096.1                                       3639691                                           ARG1                                              149870                                            151120                                            XM_713534.2                                       533                                               0.0                                               261/402                                           1251                                              410                                               Query= 2541050|NP_595183.1|chromosome II|arg12|-1|449439|451024|N/A|410|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[7, 406, '261/402 (65%)', '315/402 (78%)', 533.0, '0.0']]
NC_032096.1                                       3644929                                           PHO112                                            533719                                            535104                                            XM_708323.2                                       152                                               2.00e-41                                          132/461                                           1386                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[2, 457, '132/461 (29%)', '210/461 (46%)', 152.0, '2e-41']]
NC_032092.1                                       3635644                                           PHO114                                            414417                                            415787                                            XM_717563.1                                       148                                               2.00e-40                                          128/464                                           1371                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[10, 463, '128/464 (28%)', '196/464 (42%)', 148.0, '2e-40']]
NC_032096.1                                       3644946                                           PHO113                                            478027                                            479415                                            XM_708349.2                                       141                                               1.00e-37                                          119/430                                           1389                                              463                                               Query= 2540606|NP_595181.1|chromosome II|pho4|-1|445323|447027|N/A|463|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[36, 457, '119/430 (28%)', '195/430 (45%)', 141.0, '1e-37']]
NC_032089.1                                       3634867                                           SFU1                                              2195272                                           2196825                                           XM_718460.2                                       172                                               6.00e-48                                          96/229                                            1554                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[9, 235, '96/229 (42%)', '131/229 (57%)', 172.0, '6e-48']]
NC_032092.1                                       3641794                                           GAT1                                              1301849                                           1303915                                           XM_711490.1                                       80                                                2.00e-16                                          29/50                                             2067                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[172, 221, '29/50 (58%)', '39/50 (78%)', 80.5, '2e-16']]
NC_032093.1                                       3636453                                           GLN3                                              947806                                            949854                                            XM_716729.2                                       80                                                2.00e-16                                          31/51                                             2049                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[169, 219, '31/51 (61%)', '39/51 (76%)', 80.5, '2e-16']]
NC_032096.1                                       3642563                                           GZF3                                              647406                                            649544                                            XM_710680.2                                       75                                                9.00e-15                                          29/52                                             2139                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[171, 222, '29/52 (56%)', '37/52 (71%)', 75.5, '9e-15']]
NC_032089.1                                       3645322                                           Unknown                                           2560903                                           2562321                                           XM_707924.2                                       72                                                7.00e-14                                          29/63                                             1419                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[169, 229, '29/63 (46%)', '40/63 (63%)', 72.0, '7e-14']]
NC_032090.1                                       3637356                                           BAT21                                             887776                                            888957                                            XM_715828.1                                       382                                               1.00e-131                                         188/364                                           1182                                              427                                               Query= 2540831|NP_595180.2|chromosome II|eca39|-1|442343|443935|N/A|427|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[59, 422, '188/364 (52%)', '254/364 (70%)', 382.0, '1e-131']]
NC_032091.1                                       3643663                                           BAT22                                             1250579                                           1251688                                           XM_709607.1                                       370                                               3.00e-127                                         181/365                                           1110                                              427                                               Query= 2540831|NP_595180.2|chromosome II|eca39|-1|442343|443935|N/A|427|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[59, 422, '181/365 (50%)', '245/365 (67%)', 370.0, '3e-127']]
NC_032089.1                                       3639296                                           Unknown                                           49295                                             49843                                             XM_713944.2                                       156                                               1.00e-47                                          77/180                                            549                                               306                                               Query= 2538778|NP_587823.2|chromosome II|not2|1|441535|442913|N/A|306|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[122, 297, '77/180 (43%)', '116/180 (64%)', 156.0, '1e-47']]
NC_032089.1                                       3639280                                           SET1                                              194676                                            197798                                            XM_713878.1                                       76                                                3.00e-15                                          49/165                                            3123                                              490                                               Query= 2540825|NP_595186.1|chromosome II|clr4|-1|453995|458409|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[326, 488, '49/165 (30%)', '80/165 (48%)', 76.6, '3e-15']]
NC_032090.1                                       3643923                                           SET2                                              2109181                                           2111715                                           XM_709308.1                                       71                                                1.00e-13                                          54/186                                            2535                                              490                                               Query= 2540825|NP_595186.1|chromosome II|clr4|-1|453995|458409|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[306, 490, '54/186 (29%)', '84/186 (45%)', 71.2, '1e-13']]
NC_032089.1                                       3639280                                           SET1                                              194676                                            197798                                            XM_713878.1                                       76                                                3.00e-15                                          49/165                                            3123                                              490                                               Query= 9839843|NP_595186.1|chromosome II|clr4|-1|456574|458046|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[326, 488, '49/165 (30%)', '80/165 (48%)', 76.6, '3e-15']]
