Total unique genes matched: 16
Unique genes (alphabetical order):
bet3 (2543570)
cdc5 (2543583)
gpi12 (2543490)
kin1 (2540792)
leu3 (2541003)
mak5 (2540874)
mrpl9 (2543386)
N/A (2543658)
N/A (9845277)
pkp1 (2543651)
rad51 (2543580)
rhp51 (9844570)
rna15 (2543462)
rpl2502 (2540851)
rpp101 (2543217)
str1 (2540217)

Unique genes matched on chromosome NC_001133.9: 1
Unique genes matched on chromosome NC_001134.8: 4
Unique genes matched on chromosome NC_001135.5: 2
Unique genes matched on chromosome NC_001136.10: 6
Unique genes matched on chromosome NC_001137.3: 4
Unique genes matched on chromosome NC_001138.5: 3
Unique genes matched on chromosome NC_001139.9: 5
Unique genes matched on chromosome NC_001140.6: 4
Unique genes matched on chromosome NC_001141.2: 2
Unique genes matched on chromosome NC_001142.9: 3
Unique genes matched on chromosome NC_001143.9: 5
Unique genes matched on chromosome NC_001144.5: 3
Unique genes matched on chromosome NC_001145.3: 5
Unique genes matched on chromosome NC_001146.8: 4
Unique genes matched on chromosome NC_001147.6: 6
Unique genes matched on chromosome NC_001148.4: 3

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_001145.3                                       855253                                            CEF1                                              693381                                            695153                                            NM_001182720.1                                    236                                               4.00e-69                                          127/263                                           1773                                              757                                               Query= 2543583|NP_593880.1|chromosome I|cdc5|1|2694698|2697429|N/A|757|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[2, 261, '127/263 (48%)', '178/263 (68%)', 236.0, '4e-69']]
NC_001141.2                                       854769                                            PKP1                                              275108                                            276292                                            NM_001179392.1                                    89                                                7.00e-20                                          66/266                                            1185                                              425                                               Query= 2543651|NP_593879.1|chromosome I|pkp1|-1|2691297|2693758|N/A|425|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[162, 421, '66/266 (25%)', '130/266 (49%)', 89.0, '7e-20']]
NC_001147.6                                       853993                                            RPL25                                             80348                                             81190                                             NM_001183381.1                                    181                                               2.00e-60                                          85/126                                            429                                               141                                               Query= 2540851|NP_596104.1|chromosome I|rpl2502|1|2690820|2691721|N/A|141|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[16, 141, '85/126 (67%)', '104/126 (83%)', 181.0, '2e-60']]
NC_001134.8                                       852244                                            Unknown                                           150447                                            151220                                            NM_001178276.1                                    186                                               3.00e-59                                          93/217                                            774                                               237                                               Query= 2543658|NP_593877.1|chromosome I|N/A|1|2689643|2691119|N/A|237|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[15, 224, '93/217 (43%)', '142/217 (65%)', 186.0, '3e-59']]
NC_001146.8                                       855619                                            LEU4                                              424895                                            426754                                            NM_001182942.1                                    634                                               0.0                                               306/573                                           1860                                              584                                               Query= 2541003|NP_596103.2|chromosome I|leu3|-1|2688415|2690611|N/A|584|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[13, 576, '306/573 (53%)', '403/573 (70%)', 634.0, '0.0']]
NC_001147.6                                       854275                                            LEU9                                              523027                                            524841                                            NM_001183527.1                                    613                                               0.0                                               303/574                                           1815                                              584                                               Query= 2541003|NP_596103.2|chromosome I|leu3|-1|2688415|2690611|N/A|584|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[13, 576, '303/574 (53%)', '394/574 (69%)', 613.0, '0.0']]
NC_001137.3                                       856831                                            RAD51                                             349980                                            351182                                            NM_001178986.3                                    498                                               7.00e-178                                         248/347                                           1203                                              365                                               Query= 2543580|NP_593882.1|chromosome I|rad51|-1|2698109|2700268|N/A|365|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[17, 360, '248/347 (71%)', '298/347 (86%)', 498.0, '7e-178']]
NC_001137.3                                       856926                                            DMC1                                              548421                                            549517                                            NM_001179069.1                                    310                                               6.00e-105                                         154/326                                           1005                                              365                                               Query= 2543580|NP_593882.1|chromosome I|rad51|-1|2698109|2700268|N/A|365|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[37, 360, '154/326 (47%)', '219/326 (67%)', 310.0, '6e-105']]
NC_001136.10                                      851567                                            RAD57                                             455201                                            456583                                            NM_001180312.1                                    81                                                2.00e-17                                          56/176                                            1383                                              365                                               Query= 2543580|NP_593882.1|chromosome I|rad51|-1|2698109|2700268|N/A|365|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[124, 291, '56/176 (32%)', '87/176 (49%)', 81.3, '2e-17']]
NC_001136.10                                      851700                                            KIN1                                              694700                                            697894                                            NM_001180430.1                                    385                                               1.00e-118                                         197/405                                           3195                                              891                                               Query= 2540792|NP_596106.1|chromosome I|kin1|1|2694331|2698127|N/A|891|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[119, 512, '197/405 (49%)', '267/405 (66%)', 385.0, '1e-118'], [721, 891, '67/214 (31%)', '107/214 (50%)', 84.7, '4e-17']]
NC_001144.5                                       850785                                            KIN2                                              332590                                            336033                                            NM_001181983.1                                    380                                               2.00e-116                                         203/416                                           3444                                              891                                               Query= 2540792|NP_596106.1|chromosome I|kin1|1|2694331|2698127|N/A|891|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[119, 512, '203/416 (49%)', '270/416 (65%)', 380.0, '2e-116']]
