Total unique genes matched: 19
Unique genes (alphabetical order):
akr7 (2539165)
apn1 (2538794)
atg6 (3361548)
emc4 (2539075)
epe1 (2539481)
gdh1 (2539147)
gst4 (2539028)
hta1 (2539499)
htb1 (2539523)
N/A (2539076)
N/A (2539181)
nnr2 (2539500)
ole1 (2538753)
rpl6 (2539372)
rsc7 (2538836)
sla1 (2541530)
spt3 (2539570)
str2 (2539559)
tti1 (2539480)

Unique genes matched on chromosome NC_001133.9: 1
Unique genes matched on chromosome NC_001134.8: 2
Unique genes matched on chromosome NC_001135.5: 1
Unique genes matched on chromosome NC_001136.10: 5
Unique genes matched on chromosome NC_001137.3: 3
Unique genes matched on chromosome NC_001138.5: 1
Unique genes matched on chromosome NC_001139.9: 4
Unique genes matched on chromosome NC_001140.6: 1
Unique genes matched on chromosome NC_001141.2: 1
Unique genes matched on chromosome NC_001143.9: 5
Unique genes matched on chromosome NC_001144.5: 1
Unique genes matched on chromosome NC_001145.3: 3
Unique genes matched on chromosome NC_001146.8: 1
Unique genes matched on chromosome NC_001147.6: 3
Unique genes matched on chromosome NC_001148.4: 2

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_001134.8                                       852283                                            HTA2                                              235394                                            235792                                            NM_001178243.1                                    162                                               4.00e-53                                          98/114                                            399                                               132                                               Query= 2539499|NP_588180.1|chromosome III|hta1|-1|1411143|1412180|N/A|132|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[19, 132, '98/114 (86%)', '107/114 (94%)', 162.0, '4e-53']]
NC_001136.10                                      851811                                            HTA1                                              915530                                            915928                                            NM_001180533.3                                    159                                               5.00e-52                                          97/114                                            399                                               132                                               Query= 2539499|NP_588180.1|chromosome III|hta1|-1|1411143|1412180|N/A|132|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[19, 132, '97/114 (85%)', '106/114 (93%)', 159.0, '5e-52']]
NC_001147.6                                       854150                                            HTZ1                                              303579                                            303983                                            NM_001183266.1                                    80                                                6.00e-21                                          63/108                                            405                                               132                                               Query= 2539499|NP_588180.1|chromosome III|hta1|-1|1411143|1412180|N/A|132|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[21, 127, '63/108 (58%)', '78/108 (72%)', 80.5, '6e-21']]
NC_001143.9                                       853951                                            ECM4                                              582283                                            583395                                            NM_001179866.3                                    338                                               1.00e-115                                         174/362                                           1113                                              337                                               Query= 2539028|NP_588171.2|chromosome III|gst4|-1|1397187|1398747|N/A|337|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[34, 334, '174/362 (48%)', '224/362 (62%)', 338.0, '1e-115']]
NC_001145.3                                       855292                                            GTO3                                              772915                                            774015                                            NM_001182757.1                                    296                                               2.00e-99                                          162/357                                           1101                                              337                                               Query= 2539028|NP_588171.2|chromosome III|gst4|-1|1397187|1398747|N/A|337|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[34, 334, '162/357 (45%)', '200/357 (56%)', 296.0, '2e-99']]
NC_001139.9                                       853058                                            GTO1                                              796798                                            797868                                            NM_001181283.3                                    237                                               2.00e-76                                          137/350                                           1071                                              337                                               Query= 2539028|NP_588171.2|chromosome III|gst4|-1|1397187|1398747|N/A|337|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[46, 334, '137/350 (39%)', '184/350 (53%)', 237.0, '2e-76']]
NC_001139.9                                       852825                                            OLE1                                              398628                                            400160                                            NM_001180920.3                                    420                                               9.00e-144                                         202/402                                           1533                                              479                                               Query= 2538753|NP_588170.1|chromosome III|ole1|-1|1392543|1394875|N/A|479|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[37, 433, '202/402 (50%)', '285/402 (71%)', 420.0, '9e-144']]
NC_001145.3                                       855116                                            NPL6                                              450058                                            451365                                            NM_001182591.1                                    183                                               3.00e-54                                          104/284                                           1308                                              390                                               Query= 2538836|NP_588169.1|chromosome III|rsc7|1|1388704|1392087|N/A|390|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[91, 362, '104/284 (37%)', '160/284 (56%)', 183.0, '3e-54']]
NC_001138.5                                       850495                                            SWP82                                             36803                                             38674                                             NM_001179918.1                                    72                                                2.00e-14                                          43/123                                            1872                                              390                                               Query= 2538836|NP_588169.1|chromosome III|rsc7|1|1388704|1392087|N/A|390|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[90, 208, '43/123 (35%)', '60/123 (49%)', 72.8, '2e-14']]
NC_001148.4                                       856245                                            Unknown                                           790083                                            791120                                            NM_001184224.1                                    153                                               2.00e-44                                          102/305                                           1038                                              333                                               Query= 2539165|NP_588168.1|chromosome III|akr7|1|1386604|1387960|N/A|333|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[13, 289, '102/305 (33%)', '156/305 (51%)', 153.0, '2e-44']]
